Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Stage1_Pass,Scope_Category,Skin_Terms,Aging_Terms,Sample_Terms,Age_Contrast_Terms,Intervention_Terms,Incidental_Signals,Off_Topic_Signals,Central_Sentences,Submission_Date,GEO_Link
GSE301192,"XRCC1 Deficiency Drives Telomeric Chromatin Leakage, Inflammatory signaling and Senescence in Cancer Cells",exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,cancer,0,2026/07/08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301192
GSE315794,Non-ablative fractional laser 1940nm treatment series modulates epigenetic pathways and signs of skin aging: a split face investigation,include,12,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,rejuvenation_intervention,skin; cutaneous; epidermis,skin_aging; age_related; aging_generic; rejuvenation,,,aged_skin_treatment,,,2,2026/07/08,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315794
GSE280255,In vivo single-cell ribosome profiling reveals cell-type-specific translational programs during aging,include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,aged_skin; aging_generic; aged; young_vs_old,skin_direct; skin_tissue; epidermal_sample,young_vs_old; age_groups,,,,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280255
GSE280330,In vivo single-cell ribosome profiling reveals cell-type-specific translational programs during aging [scRNA-Seq],include,13,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,aged_skin; aging_generic; aged; young_vs_old,skin_direct; epidermal_sample,young_vs_old,,,,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280330
GSE336400,Age-related changes in the phenotype and function of mouse skin macrophages,include,8,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,intrinsic_skin_aging,skin; dermis,skin_aging; aged_skin; age_related; aging_generic; aged; young_vs_old,skin_direct,,aged_skin_treatment,,blood,1,2026/07/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336400
GSE294336,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-seq Aged_adult],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294336
GSE294339,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-seq Col14],include,8,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,include,标题明确以皮肤老化为研究主问题，实验设计未发现相反证据,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,,,,,,1,2026/06/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294339
GSE294069,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq 1],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294069
GSE294070,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq 2],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294070
GSE329010,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [RNA-Seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329010
GSE329011,BMAL1 and YAP cooperate to hijack enhancers and promote inflammation in the aged epidermis [ChIP-Seq],include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,aged_skin_repair,skin; epidermis,skin_aging; aged_skin; age_related; aging_generic; aged,skin_direct,young_vs_old,,,,1,2026/06/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329011
GSE206070,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [CUT&RUN],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,cutaneous,age_related; aging_generic; senescence,,,,,,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206070
GSE206071,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [RNA-Seq],exclude,-3,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,exclude,Overall Design 的实际样本属于其他器官、肿瘤或非皮肤细胞,two_stage_rule,True,cellular_senescence,cutaneous,age_related; aging_generic; senescence,,,,,lung,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206071
GSE206077,ZNF512B protects critical regulatory regions to safeguard long term genomic integrity. [screening],exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,cellular_senescence,cutaneous,age_related; aging_generic; senescence,,,,,,0,2026/06/22,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206077
GSE329112,Aging disrupts spatiotemporal coordination in the cycling murine ovary,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,chronological_aging; age_related; aging_generic,,,,,reproductive,0,2026/06/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329112
GSE334230,Single-Cell Atlas of Photoaged Skin Reveals JAK-STAT Blockade as a Strategy to Reverse Dermal Remodeling,include,18,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; cutaneous; dermis,photoaging; chronological_aging; aging_generic,skin_direct,photoaging_model,aged_skin_treatment,,,2,2026/06/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334230
GSE334271,In vivo base editing partially rescues bone dysplasia in a mouse model of Hutchinson-Gilford Progeria Syndrome,exclude,-6,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,intrinsic_skin_aging,dermis,aging_generic; premature_aging,,,,,skeletal_repair; systemic_premature_aging,0,2026/06/10,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334271
GSE329677,"DNA damage drives a unique, Alzheimer’s disease-relevant senescent state in neurons",exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,neurologic,0,2026/05/29,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE329677
GSE326951,Effect of sauchinone on gene expression in UVB-induced photoaging of dermal fibroblasts,include,14,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; dermis; dermal_fibroblast,photoaging,dermal_sample,photoaging_model,,,,1,2026/05/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326951
GSE288480,The Arp2/3 complex maintains genome integrity and survival of epidermal Langerhans cells,exclude,2,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,intrinsic_skin_aging,epidermis,aging_generic,,,,,,0,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288480
GSE304124,Mapping Cellular Senescence in Human Dental Follicle and Odontogenic Keratocyst,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,dental,0,2026/05/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304124
GSE290999,DNA methylation gain at polycomb CpG islands is a hallmark of cellular aging,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; young_vs_old,,,,,,0,2026/05/05,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290999
GSE294378,Comprehensive analysis of the biological properties of BIOGF1K via the construction of a competing endogenous RNA network,include,7,皮肤样本用于验证抗衰老或年轻化干预,include,皮肤样本用于验证抗衰老或年轻化干预,two_stage_rule,True,photoaging,skin; epidermis; keratinocyte,photoaging; aging_generic; rejuvenation,keratinocyte_sample,,anti_aging_intervention,,,1,2026/04/30,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294378
GSE264314,Topical application of Urolithin A slows intrinsic skin aging and protects from UVB-mediated photodamage: Findings from Randomized Clinical Trials,include,18,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,photoaging,skin,skin_aging; photoaging; chronological_aging; aging_generic; aged,skin_biopsy; skin_punch_biopsy,,aged_skin_treatment,,,1,2026/04/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE264314
GSE326187,Combined dopamine receptor inhibition and radiotherapy target mesothelioma-initiating cells and increase survival in a mouse model of mesothelioma,exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,senescence,,,,,,0,2026/04/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326187
GSE326090,"Inertia-driven, self-powered electrotherapy for enhanced wound regeneration",exclude,0,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; epidermis,aging_generic,,,,,,0,2026/03/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326090
GSE293125,DNA methylation differences underlying female reproductive aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic,,,,,reproductive,0,2026/03/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293125
GSE300231,Age-related gene expression alteration responding to mechanical force and TGFβ signaling [ATAC-seq],exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,age_related; aging_generic; young_vs_old; rejuvenation,,,,,,0,2026/03/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300231
GSE318600,Psoriasis-like disease prevents squamous skin tumor development by neutrophil-driven inflammation,exclude,4,研究核心为特定疾病模型，未直接研究皮肤老化,exclude,研究核心为特定疾病模型，未直接研究皮肤老化,two_stage_rule,True,cellular_senescence,skin; cutaneous; keratinocyte,senescence,skin_direct; skin_tissue,,,,cancer; other_disease,1,2026/03/25,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318600
GSE302932,Transcriptomic profiling of chlorogenic acid and taurine treatment in human skin cells provides insights into cellular senescence mechanisms,include,16,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,cellular_senescence,skin; epidermis; keratinocyte; melanocyte,skin_aging; aging_generic; senescence; rejuvenation,keratinocyte_sample; melanocyte_sample,,anti_aging_intervention,,,3,2026/03/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302932
GSE310764,The post-reproductive ovary shifts from a reproductive to an immune organ,exclude,-3,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,cellular_senescence,,aging_generic; young_vs_old; senescence,,,,,reproductive,0,2026/03/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310764
GSE299177,Unique sequence features define epigenetic longevity of inflammatory memory [ATAC-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299177
GSE299178,Unique sequence features define epigenetic longevity of inflammatory memory [CUT&Run],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299178
GSE299457,Unique sequence features define epigenetic longevity of inflammatory memory [scRNA-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299457
GSE299606,Unique sequence features define epigenetic longevity of inflammatory memory [Bisulfite-Seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299606
GSE300003,Unique sequence features define epigenetic longevity of inflammatory memory [ChIP-Seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300003
GSE300005,Unique sequence features define epigenetic longevity of inflammatory memory [RNA-seq],exclude,0,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,skin; epidermis; skin_stem_cell,,,,,,,0,2026/03/16,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300005
GSE300230,Age-related gene expression alteration responding to mechanical force and TGFβ signaling,exclude,2,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,rejuvenation_intervention,,age_related; aging_generic; young_vs_old; rejuvenation,,,,,,0,2026/03/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300230
GSE311942,Transcriptome profiling of human dermal fibroblasts transfected with tRF-34 mimics or negative control under UVA1 exposure,include,13,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,cellular_senescence,dermis; dermal_fibroblast,senescence,dermal_sample; hdf,photoaging_model,,,,0,2026/03/15,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311942
GSE291875,MicroRNA Profiles of Human Follicular Fluid Extracellular Vesicles Reveal Stress Response Pathways and Role in Ovarian Aging,exclude,-1,第一阶段未同时发现皮肤对象和老化概念,exclude,第一阶段未同时发现皮肤对象和老化概念,two_stage_rule,False,intrinsic_skin_aging,,age_related; aging_generic; aged; young_vs_old,,,,,reproductive,0,2026/03/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291875
GSE308958,Comparative Analysis of Oral and Skin Keratinocytes Responses to Oxidative Stress,exclude,7,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; keratinocyte,skin_aging; aging_generic,keratinocyte_sample,,,,,0,2026/03/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308958
GSE307377,Bulk RNA-seq analysis of primary human dermal fibroblasts from young and aged donors,include,16,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,intrinsic_skin_aging,dermis; dermal_fibroblast,age_related; aging_generic; aged; young_vs_old,dermal_sample,young_vs_old,,,,1,2026/03/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307377
GSE320415,"Paeonia delavayi seed oil alleviates UVB-induced inflammation, oxidative stress and photoaging in keratinocytes through inhibition of PI3K/Akt/mTOR and NF-κB signaling pathways",include,12,明确包含皮肤样本，并设置年龄、衰老或光老化对照,include,明确包含皮肤样本，并设置年龄、衰老或光老化对照,two_stage_rule,True,photoaging,skin; epidermis; keratinocyte,photoaging; senescence,keratinocyte_sample,photoaging_model,,,,1,2026/02/27,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320415
GSE289113,Synergistic Effects of Retinol and Retinyl Palmitate in Alleviating UVB-Induced DNA Damage and Promoting the Homologous Recombination Repair in Keratinocytes,exclude,5,同时命中皮肤和老化词，但缺少主研究问题与样本证据,exclude,同时命中皮肤和老化词，但缺少主研究问题与样本证据,two_stage_rule,True,aged_skin_repair,skin; epidermis; keratinocyte,skin_aging; aging_generic,keratinocyte_sample,,,,,0,2026/02/07,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289113
GSE231658,Convergence of aging- and rejuvenation-related epigenetic alterations on PRC2 targets [WGBS],include,12,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,include,标题明确以老化/细胞衰老为主题，Overall Design 验证了皮肤来源样本,two_stage_rule,True,rejuvenation_intervention,skin; epidermis,aging_generic; young_vs_old; rejuvenation,skin_direct; epidermal_sample,,,,,1,2026/02/02,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231658
